gid,id,team,d_seq,d_pos,stattype,d_ifouts,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,d_gs,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
LAN202403210,heywj001,LAN,1,9,value,27,2,0,0,0,0,,,,,1,20240321,0,SEO01,h,SDN,0,1,0,regular,y,y
LAN202403210,lux-g001,LAN,1,4,value,27,2,1,0,1,0,,,,,1,20240321,0,SEO01,h,SDN,0,1,0,regular,y,y
ARI202403280,freek001,COL,1,1,value,7,0,1,0,0,0,,,,,1,20240328,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI202403280,molia001,COL,1,1,value,1,0,0,0,0,0,,,,,0,20240328,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI202403280,beekj001,COL,1,1,value,7,0,1,0,0,0,,,,,0,20240328,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI202403280,vodnv001,COL,1,1,value,6,0,0,0,0,0,,,,,0,20240328,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI202403280,mearn001,COL,1,1,value,3,0,0,0,0,0,,,,,0,20240328,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI202403280,blacc001,COL,1,9,value,15,1,0,0,0,0,,,,,1,20240328,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI202403280,cavej001,COL,1,9,value,9,1,0,0,0,0,,,,,0,20240328,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI202403280,bryak001,COL,1,3,value,15,7,1,0,1,0,,,,,1,20240328,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI202403280,toglm001,COL,1,3,value,9,1,0,0,0,0,,,,,0,20240328,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI202403280,jonen002,COL,1,7,value,24,1,0,0,0,0,,,,,1,20240328,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI202403280,rodgb002,COL,1,4,value,24,1,1,0,1,0,,,,,1,20240328,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI202403280,mcmar001,COL,1,5,value,24,0,3,0,0,0,,,,,1,20240328,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI202403280,diaze005,COL,1,2,value,18,4,0,0,0,0,0,0,0,0,1,20240328,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI202403280,stalj001,COL,1,2,value,6,5,0,0,0,0,0,0,0,0,0,20240328,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI202403280,tovae001,COL,1,6,value,24,0,1,0,1,0,,,,,1,20240328,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI202403280,doylb001,COL,1,8,value,24,3,0,0,0,0,,,,,1,20240328,0,PHO01,v,ARI,0,1,0,regular,y,y
